epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2084.83,0.8481,1.53866,0.83443,1.06159,0.86632,0.77236,0.85169,0.64954,0.87073,0.7752,0.84761,0.62981,1.09093,2.00933,1.0045,1.26624,0.00134165,0.00134165,0.00134165
71,2112.81,0.86408,1.531,0.86914,1.07373,0.87858,0.75964,0.83091,0.64434,0.87492,0.75761,0.82031,0.61786,1.0906,2.08582,1.01974,1.2811,0.00133693,0.00133693,0.00133693
72,2140.62,0.86072,1.53893,0.85335,1.07384,0.87269,0.75935,0.83239,0.64527,0.82599,0.78267,0.8216,0.62674,1.09357,2.01076,1.05671,1.26843,0.00133222,0.00133222,0.00133222
73,2168.51,0.83323,1.46191,0.81232,1.05456,0.84085,0.76643,0.83562,0.64564,0.84234,0.76807,0.82923,0.61739,1.05566,2.01626,1.02721,1.23297,0.0013275,0.0013275,0.0013275
74,2196.37,0.84967,1.4823,0.81393,1.06716,0.8622,0.75361,0.83387,0.6453,0.85731,0.74924,0.82058,0.61192,1.09785,2.09501,1.04083,1.25781,0.00132279,0.00132279,0.00132279
75,2224.23,0.84949,1.53796,0.8293,1.06038,0.81218,0.79862,0.84415,0.65945,0.79713,0.78771,0.83109,0.63025,1.05983,2.06251,1.00341,1.2479,0.00131807,0.00131807,0.00131807
76,2252.15,0.8554,1.51263,0.81354,1.06023,0.8428,0.79031,0.84229,0.64892,0.84047,0.78842,0.83195,0.62338,1.09779,2.07854,1.00986,1.26095,0.00131336,0.00131336,0.00131336
77,2280.06,0.85224,1.54213,0.8373,1.06776,0.91372,0.70702,0.82518,0.6354,0.90926,0.70417,0.81277,0.60973,1.11507,2.0791,1.10317,1.2771,0.00130864,0.00130864,0.00130864
78,2307.97,0.81426,1.50249,0.79806,1.0451,0.87943,0.77865,0.84787,0.66035,0.87588,0.77446,0.84049,0.63053,1.06846,2.0025,1.00902,1.26152,0.00130393,0.00130393,0.00130393
79,2335.88,0.85155,1.56325,0.83173,1.07103,0.87895,0.76436,0.83784,0.64221,0.90289,0.76265,0.83527,0.625,1.13363,2.01613,1.04429,1.30669,0.00129921,0.00129921,0.00129921
80,2363.74,0.81105,1.46972,0.78045,1.03577,0.84588,0.78607,0.84353,0.65083,0.84441,0.78122,0.83293,0.61923,1.0799,2.16669,1.00791,1.25607,0.0012945,0.0012945,0.0012945
81,2391.6,0.80298,1.45326,0.79158,1.04358,0.86256,0.76719,0.83145,0.64181,0.85717,0.76239,0.82246,0.61205,1.09526,2.04234,1.03838,1.26643,0.00128978,0.00128978,0.00128978
82,2419.48,0.83973,1.44844,0.81251,1.05101,0.87528,0.76807,0.84422,0.65204,0.9272,0.72596,0.83051,0.62754,1.07424,2.08666,1.08205,1.28468,0.00128507,0.00128507,0.00128507
83,2447.35,0.83116,1.4159,0.78996,1.0354,0.89081,0.77296,0.8426,0.63679,0.88228,0.76584,0.83059,0.61208,1.09179,2.03447,1.06784,1.26271,0.00128035,0.00128035,0.00128035
84,2475.24,0.87179,1.67556,0.8983,1.09812,0.86012,0.75947,0.83504,0.64068,0.83951,0.76451,0.82292,0.62114,1.04969,2.0026,1.00514,1.20664,0.00127564,0.00127564,0.00127564
85,2503.21,0.79224,1.46256,0.7562,1.03227,0.86423,0.78357,0.85536,0.65435,0.85672,0.77788,0.8388,0.63757,1.06634,2.00651,0.96768,1.22772,0.00127092,0.00127092,0.00127092
86,2531.06,0.82182,1.4577,0.77492,1.04714,0.88144,0.77421,0.84586,0.65486,0.88003,0.77065,0.83641,0.63005,1.07291,1.9909,0.94697,1.27206,0.00126621,0.00126621,0.00126621
87,2558.93,0.82094,1.44837,0.75856,1.04425,0.88032,0.77458,0.84547,0.65547,0.87052,0.77306,0.83281,0.6391,1.11019,2.02557,0.99789,1.30284,0.00126149,0.00126149,0.00126149
88,2586.81,0.81282,1.51389,0.79799,1.04375,0.88968,0.78866,0.85005,0.65115,0.88066,0.78487,0.83774,0.62625,1.06801,2.0516,0.98491,1.24228,0.00125678,0.00125678,0.00125678
89,2614.77,0.80733,1.48492,0.78514,1.02573,0.79648,0.82131,0.85333,0.65387,0.78742,0.81184,0.84071,0.63329,1.07469,2.03409,0.95996,1.26674,0.00125206,0.00125206,0.00125206
90,2642.54,0.79119,1.43872,0.76399,1.0312,0.81162,0.81616,0.85125,0.65012,0.80947,0.81142,0.83947,0.63891,1.10316,1.99675,1.00532,1.2978,0.00124734,0.00124734,0.00124734
91,2670.45,0.80169,1.42038,0.76395,1.0357,0.81068,0.78497,0.84082,0.6465,0.84991,0.74522,0.82837,0.62556,1.07772,1.93135,0.97062,1.25137,0.00124263,0.00124263,0.00124263
92,2698.52,0.81589,1.46361,0.78538,1.04648,0.82282,0.80121,0.83396,0.6404,0.83176,0.77421,0.82208,0.60998,1.08562,2.01694,0.99713,1.25318,0.00123791,0.00123791,0.00123791
93,2726.49,0.81139,1.39149,0.76647,1.04394,0.89557,0.76593,0.85306,0.65377,0.86756,0.76783,0.83917,0.62331,1.08436,2.03405,1.003,1.27136,0.0012332,0.0012332,0.0012332
94,2754.34,0.78265,1.41115,0.75465,1.02837,0.88168,0.75721,0.84449,0.64895,0.86666,0.75132,0.82921,0.62574,1.08963,1.98976,1.05949,1.27138,0.00122848,0.00122848,0.00122848
95,2782.17,0.76347,1.35398,0.75863,1.0189,0.89524,0.7577,0.84424,0.64729,0.88948,0.75527,0.83617,0.61765,1.08764,1.98896,0.98648,1.25785,0.00122377,0.00122377,0.00122377
96,2810.03,0.78241,1.40975,0.74055,1.01688,0.88241,0.77191,0.85092,0.64807,0.87483,0.76622,0.83351,0.6235,1.06265,2.03077,0.98426,1.24769,0.00121905,0.00121905,0.00121905
97,2837.93,0.76959,1.3807,0.76051,1.02181,0.84967,0.77989,0.84426,0.66582,0.84804,0.77264,0.83578,0.63908,1.06349,1.95322,1.03183,1.2474,0.00121434,0.00121434,0.00121434
98,2865.77,0.80162,1.36052,0.75354,1.03737,0.87708,0.78776,0.84166,0.64797,0.86322,0.77663,0.82956,0.61974,1.06767,2.06105,0.95213,1.25173,0.00120962,0.00120962,0.00120962
99,2894.11,0.81525,1.38385,0.74461,1.01758,0.85909,0.77578,0.84266,0.65179,0.84793,0.76113,0.8304,0.62542,1.05007,1.99419,0.96585,1.24437,0.00120491,0.00120491,0.00120491
100,2922.1,0.79822,1.48172,0.73468,1.03583,0.90443,0.7491,0.8505,0.65122,0.89518,0.743,0.84012,0.63062,1.0607,1.90171,1.0209,1.26065,0.00120019,0.00120019,0.00120019
101,2950.06,0.76869,1.38644,0.72391,1.01257,0.88017,0.76543,0.85448,0.65689,0.87261,0.75815,0.84289,0.63599,1.05976,1.94263,1.01285,1.25334,0.00119548,0.00119548,0.00119548
102,2977.95,0.78488,1.36418,0.71827,1.03168,0.85723,0.78625,0.85277,0.66045,0.85195,0.78133,0.84294,0.63434,1.05046,1.99782,0.94518,1.24547,0.00119076,0.00119076,0.00119076
103,3005.9,0.77906,1.35648,0.71884,1.02998,0.87858,0.79505,0.8482,0.65257,0.87438,0.7898,0.84031,0.63117,1.02848,1.93194,0.95119,1.24601,0.00118605,0.00118605,0.00118605
104,3033.74,0.76628,1.35409,0.73879,1.02863,0.84295,0.81366,0.85182,0.66125,0.83992,0.81082,0.84717,0.63996,1.05882,1.93805,0.99807,1.24945,0.00118133,0.00118133,0.00118133
105,3061.73,0.82121,1.45377,0.79447,1.05257,0.86039,0.80435,0.85582,0.66216,0.85705,0.80206,0.84715,0.63982,1.0371,1.8457,0.97628,1.22682,0.00117662,0.00117662,0.00117662
106,3089.62,0.78321,1.32999,0.73591,1.03579,0.8958,0.75058,0.84594,0.64715,0.88816,0.74248,0.83691,0.63487,1.06575,1.94214,0.98688,1.24527,0.0011719,0.0011719,0.0011719
107,3117.63,0.77394,1.35627,0.72848,1.02268,0.87221,0.77938,0.85031,0.6472,0.88679,0.77104,0.84293,0.63828,1.12067,1.89187,1.01076,1.28371,0.00116719,0.00116719,0.00116719
108,3145.58,0.7788,1.42421,0.7494,1.03323,0.87196,0.79056,0.84414,0.66589,0.87095,0.78393,0.83607,0.63685,1.01368,1.96827,0.97294,1.20923,0.00116247,0.00116247,0.00116247
109,3173.56,0.7768,1.38815,0.71224,1.01102,0.85335,0.79136,0.83535,0.6644,0.84147,0.77964,0.82287,0.62888,1.02108,2.10147,0.99857,1.22954,0.00115776,0.00115776,0.00115776
110,3201.47,0.77307,1.3441,0.68573,1.02718,0.86359,0.80891,0.851,0.65767,0.86429,0.80307,0.83721,0.63189,1.0814,2.00081,0.97623,1.28773,0.00115304,0.00115304,0.00115304
111,3229.39,0.75861,1.33534,0.68209,1.00192,0.86947,0.80299,0.85768,0.66989,0.86597,0.80128,0.85424,0.64234,1.07772,2.00459,0.95762,1.28906,0.00114832,0.00114832,0.00114832
112,3257.25,0.76453,1.31285,0.71234,1.01769,0.85339,0.80965,0.86341,0.67403,0.86197,0.78827,0.84841,0.65206,1.01501,1.98594,0.9575,1.23441,0.00114361,0.00114361,0.00114361
113,3285.22,0.76037,1.35409,0.70945,0.99405,0.86324,0.79195,0.86354,0.67015,0.85194,0.78368,0.84864,0.63863,1.0171,1.91898,0.90455,1.22108,0.00113889,0.00113889,0.00113889
114,3313.12,0.76885,1.37282,0.68542,1.00468,0.87004,0.76972,0.8488,0.66164,0.86623,0.76688,0.83927,0.6399,1.05661,1.99455,1.00826,1.25236,0.00113418,0.00113418,0.00113418
115,3341.03,0.77643,1.38049,0.71838,1.02085,0.85728,0.79417,0.85827,0.65654,0.85,0.78849,0.84472,0.63978,1.05958,1.9003,0.94008,1.24967,0.00112946,0.00112946,0.00112946
116,3368.96,0.77318,1.38267,0.70872,1.02123,0.84584,0.77046,0.85114,0.6729,0.83626,0.76994,0.83765,0.64303,1.0164,1.953,0.95066,1.22293,0.00112475,0.00112475,0.00112475
117,3396.87,0.75451,1.33645,0.69535,1.01171,0.8961,0.74678,0.83391,0.64901,0.84937,0.76383,0.82265,0.6162,1.03777,2.09891,1.06029,1.23885,0.00112003,0.00112003,0.00112003
118,3424.8,0.71675,1.25658,0.65173,0.99559,0.88668,0.76489,0.85432,0.66998,0.91178,0.7416,0.84664,0.64243,1.01049,1.98536,0.94959,1.21805,0.00111532,0.00111532,0.00111532
119,3452.76,0.76149,1.35968,0.68628,1.00346,0.86428,0.7748,0.85359,0.66043,0.85185,0.76408,0.83524,0.6305,1.04642,1.97443,0.98404,1.258,0.0011106,0.0011106,0.0011106
120,3480.59,0.75054,1.309,0.71413,1.01901,0.89158,0.77532,0.85772,0.67222,0.88789,0.77248,0.84943,0.64087,1.04111,1.96596,0.96397,1.24157,0.00110589,0.00110589,0.00110589
121,3508.51,0.72576,1.32715,0.67903,0.99627,0.8815,0.77919,0.8498,0.66541,0.88059,0.77492,0.83997,0.63937,0.99793,1.86799,0.98179,1.19125,0.00110117,0.00110117,0.00110117
122,3536.39,0.74668,1.25864,0.69162,0.99246,0.90446,0.77432,0.8593,0.67662,0.90051,0.75872,0.8473,0.65927,1.01387,1.93194,0.94618,1.21401,0.00109646,0.00109646,0.00109646
123,3564.36,0.74475,1.26768,0.66502,0.99988,0.86281,0.81013,0.85632,0.67482,0.85342,0.79908,0.83864,0.64757,1.03875,2.01129,0.95299,1.25828,0.00109174,0.00109174,0.00109174
124,3592.24,0.76728,1.30792,0.6776,1.01375,0.92366,0.78203,0.86127,0.67953,0.91511,0.77635,0.85415,0.6502,1.02959,1.92811,0.95507,1.25088,0.00108703,0.00108703,0.00108703
125,3620.09,0.70692,1.265,0.67365,0.99781,0.88322,0.78936,0.85911,0.68235,0.87867,0.78463,0.84965,0.65952,0.99602,1.86381,0.91007,1.23117,0.00108231,0.00108231,0.00108231
126,3648.03,0.74943,1.32105,0.67801,1.00236,0.8875,0.78203,0.85244,0.66936,0.88257,0.77838,0.84021,0.63687,1.0297,2.0296,1.0795,1.24199,0.0010776,0.0010776,0.0010776
127,3675.95,0.74691,1.36085,0.66809,1.01078,0.89432,0.80287,0.8643,0.68166,0.88449,0.79434,0.84991,0.65277,1.0211,1.88991,0.97575,1.23749,0.00107288,0.00107288,0.00107288
